name	value
Management	 18
Foreign trade	 44
Design	 70
Legal	 78
Mining	 81
Communication	 87
Insurance	 92
Marketing	 249
Construction	 269
Engineering	 272
Secretary	 312
Education	 374
Food	 602
Human resources	 790
Finance	 906
Medicine	 970
Manufacturing	 1037
Customer service	 1295
Technology	 1314
Logistics	 1545
Administration	 1924
Office	 3072
Sales	 5017
